,ID,Age,BMI,Workout_Freq,Avg_Steps,Monthly_Spend,Stress_Level,Sleep_Hours,Diet_Quality
Cluster 1,184.41538461538465,48.2,25.172307692307694,1.7076923076923072,6250.584615384616,154.92307692307693,6.838461538461539,6.693076923076923,4.9
Cluster 2,147.1532258064516,29.862903225806456,25.975,3.7016129032258074,7635.056451612903,151.1048387096774,4.524193548387097,6.934677419354839,4.306451612903226
Cluster 3,295.53389830508473,47.30508474576271,29.305084745762713,4.059322033898305,7751.0084745762715,120.44915254237289,3.8644067796610173,6.2101694915254235,4.4491525423728815
Cluster 4,376.21874999999994,36.4609375,24.55234375,2.4296875000000004,8659.3125,176.6171875,4.359375,6.41484375,6.4609375
